title,price,image_urls,cdiscount,images
Tiitan</br> Smartphone,₹666                                             ,https://cdn.shopclues.com/images1/thumbnails/81476/280/1/135627858-81476269-1619845151.jpg,33% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/81476/280/1/135627858-81476269-1619845151.jpg', 'path': 'full/cf29a24ff436f7254b1eee67e02c7da7a9dd2d5a.jpg', 'checksum': 'c1cda3ad7e4d3afbce09444f46225da8', 'status': 'downloaded'}]"
Refurbished iPhone 5S 1GB RAM 16GB ROM Smartphone,₹718                                             ,https://cdn.shopclues.com/images1/thumbnails/104955/280/1/148961798-104955503-1581584855.jpg,53% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/104955/280/1/148961798-104955503-1581584855.jpg', 'path': 'full/a86dac688e439a2d7531bebc390a84ae4b347a0a.jpg', 'checksum': '189e8d94a57b588c9f2d1f8e475d556e', 'status': 'downloaded'}]"
Tablets</br>Upto 60% Off,₹980                                             ,https://cdn.shopclues.com/images1/thumbnails/95955/280/1/143119381-95955649-1602053583.jpg,47% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/95955/280/1/143119381-95955649-1602053583.jpg', 'path': 'full/22e1cecd3d15b4b95211275e2ad7764282bd4519.jpg', 'checksum': 'd4a6d9b8a23394f23707cf58987524d0', 'status': 'downloaded'}]"
Title- Refurbished NOKIA 105 Single Sim Mobile Phone Assorted color,"₹1,078                                             ",https://cdn.shopclues.com/images1/thumbnails/114072/280/1/151368684-114072791-1621067507.jpg,66% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114072/280/1/151368684-114072791-1621067507.jpg', 'path': 'full/5d4790107e82bc68cb4fc781cbcf373ee3cc5f7c.jpg', 'checksum': '256391df055f6399290026607bfa5617', 'status': 'downloaded'}]"
MTR MT310 Dual Sim 1.8 inches (4.57 cm) Display Feature Phone,₹999,https://cdn.shopclues.com/images1/thumbnails/112499/280/1/151691681-112499420-1631780517.jpg,58% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/112499/280/1/151691681-112499420-1631780517.jpg', 'path': 'full/1e94c5c48cbd66b58dc490b921c4ef2107568948.jpg', 'checksum': 'fffce753aa1502d7ea25e061cc7be1e5', 'status': 'downloaded'}]"
Pear P310 Dual Sim Feature Phone,₹739,https://cdn.shopclues.com/images1/thumbnails/84473/280/1/136843185-84473387-1552484619.jpg,87% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/84473/280/1/136843185-84473387-1552484619.jpg', 'path': 'full/5da8846764943615f6ba09bf3fcc203011d2dddc.jpg', 'checksum': 'c47128e103db689c513dd2b129115297', 'status': 'downloaded'}]"
Feature</br>Phones,₹666                                             ,https://cdn.shopclues.com/images1/thumbnails/100740/280/1/146388171-100740822-1598963228.jpg,48% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/100740/280/1/146388171-100740822-1598963228.jpg', 'path': 'full/3f949ea91abd24f66b61de0b819e54a4e026856e.jpg', 'checksum': 'c9e1256ce08f575dd8c671f0c744e566', 'status': 'downloaded'}]"
Smartphones </br>Mania,₹699,https://cdn.shopclues.com/images1/thumbnails/74865/280/1/131046271-74865163-1552367251.jpg,77% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/74865/280/1/131046271-74865163-1552367251.jpg', 'path': 'full/088998929d07284ab7c459d8c22eb0ae66b8a575.jpg', 'checksum': 'b756c1140352be99b5376bd559ee008b', 'status': 'downloaded'}]"
Refurbished</br>Gadgest,₹699,https://cdn.shopclues.com/images1/thumbnails/112439/280/1/151644357-112439509-1608043117.jpg,69% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/112439/280/1/151644357-112439509-1608043117.jpg', 'path': 'full/022007bc32905eedf337fee2c3e73c41b9f65671.jpg', 'checksum': '66af945f8ebfa4df8bccd9517790dda1', 'status': 'downloaded'}]"
Refurbished  NOKIA 1600 Black 1.4 Inches,"₹6,999",https://cdn.shopclues.com/images/thumbnails/79076/280/1/134308473-79076516-1518426397.jpg,30% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/79076/280/1/134308473-79076516-1518426397.jpg', 'path': 'full/0ec96ec2bbe03eabdd6862aae00f4bbfa3be13dd.jpg', 'checksum': '47d5c75809abb6d84440abb8807735ab', 'status': 'downloaded'}]"
